# MicroCART On-board Quad Log
# Sample size: 1333
# IMU IIC failures: 0
# LiDAR IIC failures: 0
# Optical Flow IIC failures: 0
# Roll PID :	Kp = 35.000000 Ki = 0.000000 Kd = 1.000000 Alpha = 0.880000
# Pitch PID :	Kp = 35.000000 Ki = 0.000000 Kd = 1.000000 Alpha = 0.880000
# Yaw PID :	Kp = 2.600000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.000000
# Roll Rate PID :	Kp = 0.030000 Ki = 0.000000 Kd = 0.005000 Alpha = 0.880000
# Pitch Rate PID :	Kp = 0.030000 Ki = 0.000000 Kd = 0.005000 Alpha = 0.880000
# Yaw Rate PID :	Kp = 0.297000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.000000
# X pos PID :	Kp = 0.550000 Ki = 0.007500 Kd = 0.000000 Alpha = 0.000000
# Y pos PID :	Kp = 0.550000 Ki = 0.007500 Kd = 0.000000 Alpha = 0.000000
# Altitude PID :	Kp = -0.098040 Ki = -0.008170 Kd = -0.073530 Alpha = 0.880000
# X Vel PID :	Kp = -0.100000 Ki = 0.000000 Kd = -0.020000 Alpha = 0.000000
# Y Vel PID :	Kp = 0.100000 Ki = 0.000000 Kd = 0.020000 Alpha = 0.000000
# X Vel :	Kp = 0.000000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.880000
# Y Vel :	Kp = 0.000000 Ki = 0.000000 Kd = 0.000000 Alpha = 0.880000
%Time	accel_x	accel_y	accel_z	gyro_x	gyro_y	gyro_z	mag_x	mag_y	mag_z	Roll_Constant	Yaw_Constant	X Setpoint_Constant	Y Setpoint_Constant	Alt Setpoint_Constant	Yaw Setpoint_Constant	Lidar_Constant	VRPN X_Constant	VRPN Y_Constant	VRPN Alt_Constant	Flow Vel X_Constant	Flow Vel Y_Constant	Flow Quality_Constant	Altitude PID_Correction	X pos PID_Correction	Y pos PID_Correction	Pitch PID_Correction	Roll PID_Correction	Yaw PID_Correction	Pitch Rate PID_Correction	Roll Rate PID_Correction	Yaw Rate PID_Correction	Pitch trim add_Sum	Signal Mixer_MOTOR 0	Signal Mixer_MOTOR 1	Signal Mixer_MOTOR 2	Signal Mixer_MOTOR 3	X Vel PID_Correction	Y Vel PID_Correction	X Vel_Correction	Y Vel_Correction	OF Offset Angle_Rotated X	OF Offset Angle_Rotated Y	OF Integrate X_Integrated	OF Integrate Y_Integrated	PSI Sum_Sum	Mag Yaw_Constant
&s	G	G	G	rad/s	rad/s	rad/s	uT	uT	uT	10ns_dutycycle	rad	rad	rad/s	rad/s	rad/s	10ns_dutycycle	10ns_dutycycle	10ns_dutycycle	rad	10ns_dutycycle	10ns_dutycycle	10ns_dutycycle	10ns_dutycycle	rad	rad	m/s	m/s	m/s	m/s	m	m	rad	rad	rad	rad	m	m	m	m	m	m	m	m	m/s	m/s	none
82.775787	-0.039256	0.008756	-0.991703	-0.002450	-0.006550	0.002317	57.773438	151.703125	-312.312500	-0.009647	-0.045270	0.000000	0.000000	-0.880000	0.000000	-0.071886	-0.036541	0.115765	-0.097543	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054981	0.317947	0.000000	0.001819	0.009537	0.027208	0.001330	0.038195	0.096250	0.111686	0.060909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001862	0.000000
82.780792	-0.039744	0.010221	-0.992435	-0.002450	-0.005486	0.003381	-68.605812	57.773438	-312.312500	-0.009644	-0.037703	0.000000	0.000000	-0.880000	0.000000	-0.071706	-0.036650	0.116462	-0.097312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051855	0.311473	0.000000	0.001569	0.009352	0.026892	0.001336	0.038947	0.095869	0.111435	0.060789	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001879	0.000000
82.785797	-0.038523	0.008512	-0.991703	-0.002450	-0.007615	0.003381	60.039062	151.703125	-317.062500	-0.009642	-0.036990	0.000000	0.000000	-0.880000	0.000000	-0.071529	-0.036842	0.116520	-0.097405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066003	0.311350	0.000000	0.002331	0.009356	0.026892	0.001332	0.038181	0.096627	0.110677	0.061555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001896	0.000000
82.790802	-0.038768	0.007779	-0.995609	-0.002450	-0.007615	0.003381	-71.297211	60.039062	-317.062500	-0.009641	-0.036990	0.000000	0.000000	-0.880000	0.000000	-0.071356	-0.036842	0.116520	-0.097405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064028	0.311299	0.000000	0.002257	0.009362	0.026956	0.001329	0.038186	0.096611	0.110820	0.061423	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001914	0.000000
82.795815	-0.040477	0.003629	-0.997074	-0.003514	-0.006550	0.001253	57.773438	156.265625	-317.062500	-0.009644	-0.042462	0.000000	0.000000	-0.880000	0.000000	-0.071186	-0.036853	0.115831	-0.097804	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061898	0.311511	0.000000	0.002021	0.009534	0.027588	0.001333	0.037618	0.096835	0.111861	0.060727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001920	0.000000
82.800819	-0.041453	0.004850	-0.996586	-0.003514	-0.006550	0.001253	-68.605171	57.773438	-317.062500	-0.009645	-0.038472	0.000000	0.000000	-0.880000	0.000000	-0.071020	-0.036603	0.115712	-0.097771	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059969	0.311544	0.000000	0.001967	0.009525	0.027588	0.001337	0.037681	0.096790	0.111906	0.060664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001927	0.000000
82.805824	-0.040232	0.007047	-0.992923	-0.002450	-0.005486	0.001253	81.469559	-68.605171	-317.062500	-0.009636	-0.042043	0.000000	0.000000	-0.880000	0.000000	-0.070857	-0.036298	0.115796	-0.098061	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.042365	0.315813	0.000000	0.001282	0.009484	0.027588	0.001346	0.038405	0.096146	0.112550	0.059939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001933	0.000000
82.810829	-0.039012	0.006314	-0.989994	-0.003514	-0.005486	0.002317	60.039062	156.265625	-319.437500	-0.009629	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.070698	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040607	0.315437	0.000000	0.001248	0.009640	0.027176	0.001355	0.038685	0.095534	0.112319	0.060462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001945	0.000000
82.815834	-0.039744	0.006070	-0.988773	-0.002450	-0.005486	0.002317	-71.294655	60.039062	-319.437500	-0.009614	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.070542	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039044	0.314604	0.000000	0.001217	0.009447	0.027176	0.001363	0.038909	0.095697	0.112156	0.060238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001957	0.000000
82.820839	-0.040232	0.006070	-0.989505	-0.002450	-0.005486	0.002317	56.640625	146.000000	-318.250000	-0.009597	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.070389	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037646	0.313678	0.000000	0.001190	0.009427	0.027176	0.001372	0.038957	0.095689	0.112164	0.060190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001969	0.000000
82.825844	-0.043650	0.007291	-0.990970	-0.002450	-0.007615	0.001253	-67.259117	56.640625	-318.250000	-0.009579	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.070239	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037076	0.313587	0.000000	0.001504	0.009431	0.027492	0.001368	0.038322	0.096315	0.112170	0.060193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001975	0.000000
82.830849	-0.042186	0.008756	-0.993900	-0.003514	-0.008679	0.003381	58.906250	159.687500	-315.875000	-0.009565	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.070091	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036329	0.312967	0.000000	0.001622	0.009578	0.026860	0.001356	0.038690	0.095654	0.111567	0.061090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001993	0.000000
82.835854	-0.040965	0.009000	-0.993656	-0.002450	-0.007615	0.002317	-69.953476	58.906250	-315.875000	-0.009548	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.069946	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036243	0.312133	0.000000	0.001427	0.009384	0.027208	0.001347	0.038651	0.095922	0.111835	0.060272	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002005	0.000000
82.840858	-0.040965	0.008512	-0.987308	-0.002450	-0.007615	0.002317	56.640625	155.125000	-311.125000	-0.009534	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.069804	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036364	0.311501	0.000000	0.001417	0.009371	0.027208	0.001335	0.038673	0.095924	0.111832	0.060250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002017	0.000000
82.845863	-0.041697	0.005826	-0.994144	-0.002450	-0.005486	0.002317	-67.263184	56.640625	-311.125000	-0.009523	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.069664	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036016	0.311052	0.000000	0.001076	0.009363	0.027208	0.001331	0.039023	0.095591	0.112166	0.059901	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002029	0.000000
82.850868	-0.041697	0.006559	-0.987552	-0.002450	-0.006550	0.002317	57.773438	149.421875	-314.687500	-0.009513	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.069326	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040495	0.310700	0.000000	0.001390	0.009358	0.027208	0.001320	0.038714	0.095911	0.111846	0.060210	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002041	0.000000
82.855873	-0.039500	0.007291	-0.990238	-0.002450	-0.008679	0.002317	-68.608086	57.773438	-314.687500	-0.009504	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.069194	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041333	0.310378	0.000000	0.001737	0.009352	0.027684	0.001298	0.038626	0.097469	0.112700	0.060805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002053	0.000000
82.860878	-0.038523	0.007291	-0.993168	-0.002450	-0.007615	0.003381	57.773438	151.703125	-312.312500	-0.009495	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.069065	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041813	0.310081	0.000000	0.001563	0.009347	0.027368	0.001282	0.039121	0.096984	0.112552	0.060943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002070	0.000000
82.865883	-0.039988	0.010953	-0.994388	-0.002450	-0.006550	0.002317	-68.609222	57.773438	-312.312500	-0.009487	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.068938	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041867	0.309824	0.000000	0.001396	0.009343	0.027684	0.001273	0.038977	0.097137	0.113032	0.060455	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002082	0.000000
82.870888	-0.039256	0.009244	-0.999515	-0.003514	-0.006550	0.002317	57.773438	153.984375	-319.437500	-0.009486	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.068813	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041786	0.306423	0.000000	0.001400	0.009404	0.027684	0.001267	0.038912	0.097081	0.113088	0.060520	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002094	0.000000
82.875893	-0.039256	0.005338	-0.993412	-0.002450	-0.006550	0.003381	-68.607178	57.773438	-319.437500	-0.009483	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.068690	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052806	0.306433	0.000000	0.001737	0.009232	0.026956	0.001264	0.039476	0.096861	0.111851	0.061413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002111	0.000000
82.880898	-0.038768	0.007535	-0.996097	-0.003514	-0.006550	0.002317	62.304688	153.984375	-314.687500	-0.009486	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.068569	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052433	0.306769	0.000000	0.001731	0.009406	0.027272	0.001264	0.038332	0.096337	0.111686	0.060605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002123	0.000000
82.885902	-0.040477	0.006803	-0.993900	-0.002450	-0.006550	0.001253	-73.986786	62.304688	-314.687500	-0.009482	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.068451	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051940	0.306724	0.000000	0.001721	0.009233	0.027588	0.001267	0.038199	0.096815	0.111840	0.060106	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002129	0.000000
82.890907	-0.040721	0.009000	-0.994144	-0.003514	-0.006550	0.001253	61.171875	148.281250	-313.500000	-0.009484	-0.037851	0.000000	0.000000	-0.880000	0.000000	-0.068335	-0.036561	0.116437	-0.097346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051395	0.308446	0.000000	0.001708	0.009449	0.027588	0.001271	0.037995	0.096587	0.112069	0.060310	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002136	0.000000
82.895912	-0.041453	0.006314	-0.997562	-0.002450	-0.007615	0.001253	-72.640686	61.171875	-313.500000	-0.009479	-0.037653	0.000000	0.000000	-0.880000	0.000000	-0.068222	-0.036566	0.116295	-0.097560	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051191	0.308317	0.000000	0.001865	0.009275	0.027588	0.001271	0.038012	0.096918	0.111737	0.060293	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002143	0.000000
82.900917	-0.040232	0.007535	-0.998295	-0.003514	-0.006550	0.002317	53.242188	151.703125	-317.062500	-0.009480	-0.039878	0.000000	0.000000	-0.880000	0.000000	-0.068112	-0.036632	0.115754	-0.097806	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050738	0.308473	0.000000	0.001680	0.009445	0.027208	0.001275	0.038387	0.096163	0.111693	0.060637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002155	0.000000
82.905922	-0.040721	0.009000	-0.996341	-0.003514	-0.006550	0.002317	-63.224247	53.242188	-317.062500	-0.009480	-0.039943	0.000000	0.000000	-0.880000	0.000000	-0.068004	-0.036719	0.115747	-0.097762	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050381	0.308581	0.000000	0.001674	0.009438	0.027208	0.001278	0.038400	0.096164	0.111692	0.060624	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002166	0.000000
82.910927	-0.040721	0.010953	-0.991214	-0.003514	-0.006550	0.002317	75.079445	-63.224247	-317.062500	-0.009481	-0.040333	0.000000	0.000000	-0.880000	0.000000	-0.067899	-0.036353	0.115920	-0.097883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050118	0.308725	0.000000	0.001670	0.009433	0.027208	0.001281	0.038408	0.096165	0.111691	0.060615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002178	0.000000
82.915932	-0.039012	0.009244	-0.991947	-0.003514	-0.005486	0.003381	60.039062	156.265625	-309.937500	-0.009484	-0.037824	0.000000	0.000000	-0.880000	0.000000	-0.067796	-0.036639	0.116372	-0.097479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049621	0.308711	0.000000	0.001499	0.009425	0.026892	0.001287	0.038904	0.095686	0.111538	0.060752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002196	0.000000
82.920937	-0.038523	0.010465	-0.994388	-0.001385	-0.005486	0.002317	-71.295090	60.039062	-309.937500	-0.009480	-0.037315	0.000000	0.000000	-0.880000	0.000000	-0.067696	-0.036851	0.116586	-0.097456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033556	0.308525	0.000000	0.001036	0.009093	0.027256	0.001293	0.039295	0.095878	0.111993	0.059553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002207	0.000000
82.925941	-0.038523	0.008268	-0.995609	-0.002450	-0.007615	0.003381	55.507812	153.984375	-312.312500	-0.009485	-0.042043	0.000000	0.000000	-0.880000	0.000000	-0.067599	-0.036739	0.115810	-0.097822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033675	0.308854	0.000000	0.001375	0.009287	0.026940	0.001291	0.039078	0.095707	0.111532	0.060402	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002225	0.000000
82.930946	-0.036814	0.007535	-0.994388	-0.003514	-0.007615	0.002317	-65.916107	55.507812	-312.312500	-0.009496	-0.038236	0.000000	0.000000	-0.880000	0.000000	-0.067503	-0.036709	0.115744	-0.097753	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033652	0.309575	0.000000	0.001358	0.009475	0.027256	0.001290	0.038592	0.095819	0.112053	0.060257	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002237	0.000000
82.935951	-0.039744	0.007779	-0.995365	-0.003514	-0.007615	0.003381	57.773438	149.421875	-314.687500	-0.009508	-0.044387	0.000000	0.000000	-0.880000	0.000000	-0.067410	-0.036495	0.115802	-0.097512	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033454	0.308196	0.000000	0.001337	0.009423	0.026940	0.001293	0.038979	0.095534	0.111706	0.060501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002254	0.000000
82.940956	-0.041209	0.006803	-0.998295	-0.003514	-0.006550	0.002317	-68.605453	57.773438	-314.687500	-0.009519	-0.038013	0.000000	0.000000	-0.880000	0.000000	-0.067319	-0.036626	0.116408	-0.097406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047719	0.308809	0.000000	0.001593	0.009433	0.027256	0.001302	0.038398	0.096096	0.111776	0.060451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002266	0.000000
82.945961	-0.040477	0.004117	-0.992191	-0.003514	-0.006550	0.002317	56.640625	150.562500	-315.875000	-0.009528	-0.038274	0.000000	0.000000	-0.880000	0.000000	-0.067230	-0.036642	0.116426	-0.097263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047126	0.309241	0.000000	0.001580	0.009439	0.027890	0.001312	0.038561	0.097502	0.113219	0.060598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002278	0.000000
